RD,STNUM,STDIR,STREET,DISTRICT,DATEOCC,TIME,PRIMARY_CLASS,SECONDARY_CLASS,RECOVERED_I
HT455803,5XX,E,79TH ST,6,19-Aug-11,1:15 PM,THEFT,$500 AND UNDER,N
HT455873,38XX,W,82ND ST,8,19-Aug-11,1:45 PM,THEFT,$500 AND UNDER,N
HT456895,108XX,S,STATE ST,5,19-Aug-11,5:00 PM,THEFT,$500 AND UNDER,N
HT459195,21XX,N,ASHLAND AVE,14,19-Aug-11,5:00 PM,THEFT,OVER $500,N
HT457515,31XX,N,LAKE SHORE DR,23,19-Aug-11,5:00 PM,THEFT,OVER $500,N
HT456059,6XX,S,PULASKI RD,11,19-Aug-11,5:42 PM,THEFT,$500 AND UNDER,N
HT456861,63XX,W,60TH ST,8,19-Aug-11,9:00 PM,THEFT,$500 AND UNDER,N
HT457152,55XX,W,BERENICE AVE,16,19-Aug-11,11:30 PM,THEFT,$500 AND UNDER,N
HT457138,26XX,N,KEDZIE AVE,14,20-Aug-11,7:45 AM,THEFT,$500 AND UNDER,N
HT457166,66XX,N,ASHLAND AVE,24,20-Aug-11,11:15 AM,THEFT,OVER $500,N
HT457639,87XX,S,WALLACE ST,22,20-Aug-11,12:01 PM,THEFT,$500 AND UNDER,N
HT485369,99XX,S,WALDEN PKWY,22,20-Aug-11,1:00 PM,THEFT,$500 AND UNDER,N
HT457245,10XX,W,WILSON AVE,23,20-Aug-11,1:08 PM,THEFT,OVER $500,N
HT457643,100XX,S,CAMPBELL AVE,22,20-Aug-11,5:50 PM,THEFT,$500 AND UNDER,N
HT457881,74XX,S,DORCHESTER AVE,3,20-Aug-11,6:00 PM,THEFT,$500 AND UNDER,N
HT457773,20XX,E,HAYES DR,3,20-Aug-11,7:50 PM,THEFT,$500 AND UNDER,N
HT457936,62XX,S,DAMEN AVE,7,20-Aug-11,9:30 PM,THEFT,$500 AND UNDER,N
HT460711,37XX,N,WAYNE AVE,19,20-Aug-11,10:00 PM,THEFT,$500 AND UNDER,N
HT458047,41XX,W,PETERSON AVE,17,20-Aug-11,11:34 PM,THEFT,$500 AND UNDER,N
HT458589,XX,E,16TH ST,1,21-Aug-11,12:01 AM,THEFT,OVER $500,N
HT458643,16XX,N,LAKE SHORE DR,18,21-Aug-11,11:15 AM,THEFT,OVER $500,N
HT459401,44XX,N,LAKE SHORE DR NB,23,21-Aug-11,4:00 PM,THEFT,OVER $500,N
HT459066,52XX,S,DORCHESTER AVE,21,21-Aug-11,4:15 PM,THEFT,OVER $500,N
HT459124,7XX,S,KEDZIE AVE,11,21-Aug-11,5:10 PM,THEFT,$500 AND UNDER,N
HT460380,10XX,W,111TH ST,22,21-Aug-11,5:15 PM,THEFT,$500 AND UNDER,N
HT459241,26XX,N,CLARK ST,19,21-Aug-11,5:30 PM,THEFT,$500 AND UNDER,N
HT459960,20XX,W,ARTHUR AVE,24,21-Aug-11,10:30 PM,THEFT,$500 AND UNDER,N
HT460611,32XX,W,FULLERTON AVE,14,21-Aug-11,11:00 PM,THEFT,OVER $500,N
HT461952,6XX,W,DIVISION ST,18,22-Aug-11,8:00 AM,THEFT,$500 AND UNDER,N
HT460365,15XX,N,SANDBURG TER,18,22-Aug-11,10:00 AM,THEFT,$500 AND UNDER,N
HT463655,4XX,E,OHIO ST,18,22-Aug-11,2:00 PM,THEFT,$500 AND UNDER,N
HT460444,16XX,W,HARRISON ST,12,22-Aug-11,2:00 PM,THEFT,OVER $500,N
HT460408,48XX,N,LOWELL AVE,17,22-Aug-11,2:30 PM,THEFT,$500 AND UNDER,N
HT460485,13XX,W,ROSCOE ST,19,22-Aug-11,3:00 PM,THEFT,OVER $500,N
HT461186,6XX,N,KINGSBURY ST,18,22-Aug-11,5:00 PM,THEFT,$500 AND UNDER,N
HT461558,8XX,W,JACKSON BLVD,12,22-Aug-11,6:45 PM,THEFT,OVER $500,N
HT460910,20XX,W,FULLERTON AVE,14,22-Aug-11,7:05 PM,THEFT,$500 AND UNDER,N
HT467132,6XX,W,DEMING PL,19,22-Aug-11,10:30 PM,THEFT,OVER $500,N
HT461304,16XX,N,PAULINA ST,14,22-Aug-11,10:30 PM,THEFT,$500 AND UNDER,N
HT461624,26XX,N,TROY ST,14,22-Aug-11,11:30 PM,THEFT,$500 AND UNDER,N
HT465216,1XX,W,35TH ST,9,23-Aug-11,6:05 AM,THEFT,$500 AND UNDER,N
HT461878,23XX,N,AVERS AVE,25,23-Aug-11,12:00 PM,THEFT,OVER $500,N
HT461891,23XX,N,AVERS AVE,25,23-Aug-11,12:45 PM,THEFT,OVER $500,N
HT462765,4XX,N,KEDZIE AVE,11,23-Aug-11,4:35 PM,THEFT,$500 AND UNDER,N
HT462402,58XX,N,AUSTIN AVE,16,23-Aug-11,5:50 PM,THEFT,$500 AND UNDER,N
HT463456,41XX,N,CLARENDON AVE,23,23-Aug-11,6:00 PM,THEFT,$500 AND UNDER,N
HT468586,25XX,N,ROCKWELL ST,14,23-Aug-11,6:15 PM,THEFT,$500 AND UNDER,N
HT465563,105XX,S,AVENUE F,4,23-Aug-11,7:00 PM,THEFT,$500 AND UNDER,N
HT464146,29XX,N,LARAMIE AVE,25,23-Aug-11,8:30 PM,THEFT,$500 AND UNDER,N
HT463398,66XX,S,DAMEN AVE,7,23-Aug-11,11:30 PM,THEFT,$500 AND UNDER,N
HT465665,31XX,W,CERMAK RD,10,24-Aug-11,12:46 AM,THEFT,OVER $500,N
HT462997,20XX,S,BLUE ISLAND AVE,12,24-Aug-11,2:17 AM,THEFT,$500 AND UNDER,N
HT463996,27XX,N,MILWAUKEE AVE,14,24-Aug-11,8:30 AM,THEFT,$500 AND UNDER,N
HT464030,38XX,W,86TH PL,8,24-Aug-11,9:00 AM,THEFT,$500 AND UNDER,N
HT464030,38XX,W,86TH PL,8,24-Aug-11,9:00 AM,THEFT,$500 AND UNDER,N
HT464030,38XX,W,86TH PL,8,24-Aug-11,9:00 AM,THEFT,$500 AND UNDER,N
HT463995,29XX,N,MELVINA AVE,25,24-Aug-11,9:00 AM,THEFT,$500 AND UNDER,N
HT463639,39XX,N,PAULINA ST,19,24-Aug-11,1:00 PM,THEFT,$500 AND UNDER,N
HT463737,7XX,W,47TH PL,9,24-Aug-11,2:58 PM,THEFT,$500 AND UNDER,N
HT463764,14XX,W,FARGO AVE,24,24-Aug-11,3:40 PM,THEFT,$500 AND UNDER,N
HT463781,73XX,S,PHILLIPS AVE,3,24-Aug-11,4:00 PM,THEFT,OVER $500,N
HT464198,1XX,S,WABASH AVE,1,24-Aug-11,4:00 PM,THEFT,$500 AND UNDER,N
HT463781,73XX,S,PHILLIPS AVE,3,24-Aug-11,4:00 PM,THEFT,OVER $500,N
HT464897,10XX,W,ADDISON ST,23,24-Aug-11,6:00 PM,THEFT,OVER $500,N
HT464068,40XX,S,LAKE PARK AVE,21,24-Aug-11,6:30 PM,THEFT,$500 AND UNDER,N
HT468422,29XX,N,NEENAH AVE,25,24-Aug-11,7:30 PM,THEFT,$500 AND UNDER,N
HT464906,32XX,S,MORGAN ST,9,24-Aug-11,8:50 PM,THEFT,$500 AND UNDER,N
HT464688,13XX,W,HOOD AVE,24,24-Aug-11,11:00 PM,THEFT,$500 AND UNDER,N
HT466540,40XX,N,SHERIDAN RD,23,25-Aug-11,4:00 AM,THEFT,$500 AND UNDER,N
HT471417,4XX,W,43RD ST,9,25-Aug-11,7:00 AM,THEFT,$500 AND UNDER,N
HT465533,4XX,E,HURON ST,18,25-Aug-11,8:00 AM,THEFT,$500 AND UNDER,N
HT465810,9XX,W,19TH PL,12,25-Aug-11,9:00 AM,THEFT,$500 AND UNDER,N
HT465453,5XX,W,STRATFORD PL,23,25-Aug-11,9:00 AM,THEFT,$500 AND UNDER,N
HT465810,9XX,W,19TH PL,12,25-Aug-11,9:00 AM,THEFT,$500 AND UNDER,N
HT468126,55XX,S,ASHLAND AVE,7,25-Aug-11,12:00 PM,THEFT,$500 AND UNDER,N
HT465684,10XX,W,WAVELAND AVE,23,25-Aug-11,12:50 PM,THEFT,OVER $500,N
HT465738,22XX,N,CANNON DR,18,25-Aug-11,3:30 PM,THEFT,OVER $500,N
HT465753,70XX,S,WOOD ST,7,25-Aug-11,3:30 PM,THEFT,$500 AND UNDER,N
HT467678,15XX,W,ARMITAGE AVE,14,25-Aug-11,4:00 PM,THEFT,$500 AND UNDER,N
HT465500,48XX,N,WESTERN AVE,20,25-Aug-11,4:30 PM,THEFT,$500 AND UNDER,N
HT466140,12XX,E,53RD ST,21,25-Aug-11,5:00 PM,THEFT,$500 AND UNDER,N
HT473475,32XX,N,RACINE AVE,19,25-Aug-11,8:00 PM,THEFT,$500 AND UNDER,N
HT465083,49XX,N,WINTHROP AVE,20,26-Aug-11,9:00 AM,THEFT,OVER $500,N
HT479347,41XX,W,IRVING PARK RD,17,26-Aug-11,12:00 PM,THEFT,$500 AND UNDER,N
HT468271,65XX,N,MAPLEWOOD AVE,24,26-Aug-11,12:30 PM,THEFT,$500 AND UNDER,N
HT466926,XX,E,RANDOLPH ST,1,26-Aug-11,12:53 PM,THEFT,OVER $500,N
HT477711,40XX,W,ADDISON ST,17,26-Aug-11,3:00 PM,THEFT,OVER $500,N
HT467090,28XX,N,SHERIDAN RD,23,26-Aug-11,3:00 PM,THEFT,$500 AND UNDER,N
HT467083,42XX,W,83RD ST,8,26-Aug-11,3:15 PM,THEFT,$500 AND UNDER,N
HT467128,31XX,S,LAKE SHORE DR SB,21,26-Aug-11,4:00 PM,THEFT,$500 AND UNDER,N
HT467286,74XX,N,RIDGE BLVD,24,26-Aug-11,4:30 PM,THEFT,$500 AND UNDER,N
HT467257,24XX,N,MONTICELLO AVE,25,26-Aug-11,4:50 PM,THEFT,$500 AND UNDER,N
HT474169,11XX,E,52ND ST,21,26-Aug-11,5:00 PM,THEFT,$500 AND UNDER,N
HT467496,1XX,N,CLARK ST,1,26-Aug-11,7:00 PM,THEFT,OVER $500,N
HT467476,105XX,S,OGLESBY AVE,4,26-Aug-11,7:00 PM,THEFT,$500 AND UNDER,N
HT485329,10XX,N,DEARBORN ST,18,26-Aug-11,9:08 PM,THEFT,OVER $500,N
HT485329,10XX,N,DEARBORN ST,18,26-Aug-11,9:08 PM,THEFT,OVER $500,N
HT485329,10XX,N,DEARBORN ST,18,26-Aug-11,9:08 PM,THEFT,OVER $500,N
HT468248,11XX,S,MONITOR AVE,15,26-Aug-11,10:30 PM,THEFT,$500 AND UNDER,N
HT468290,58XX,S,HARLEM AVE,8,27-Aug-11,9:30 AM,THEFT,$500 AND UNDER,N
HT468264,14XX,W,17TH ST,12,27-Aug-11,9:55 AM,THEFT,OVER $500,N
HT472141,28XX,N,LARAMIE AVE,25,27-Aug-11,10:00 AM,THEFT,OVER $500,N
HT470365,46XX,W,IRVING PARK RD,17,27-Aug-11,3:00 PM,THEFT,$500 AND UNDER,N
HT468929,16XX,N,LAKE SHORE DR,18,27-Aug-11,5:00 PM,THEFT,OVER $500,N
HT468929,16XX,N,LAKE SHORE DR,18,27-Aug-11,5:00 PM,THEFT,OVER $500,N
HT471663,54XX,N,NEVA AVE,16,27-Aug-11,5:00 PM,THEFT,$500 AND UNDER,N
HT472252,16XX,N,WASHTENAW AVE,14,27-Aug-11,6:30 PM,THEFT,$500 AND UNDER,N
HT469006,14XX,N,HALSTED ST,18,27-Aug-11,6:30 PM,THEFT,$500 AND UNDER,N
HT469185,14XX,W,WEBSTER AVE,18,27-Aug-11,7:20 PM,THEFT,OVER $500,N
HT469015,65XX,N,ASHLAND AVE,24,27-Aug-11,7:48 PM,THEFT,OVER $500,N
HT469987,44XX,N,DAMEN AVE,19,27-Aug-11,8:00 PM,THEFT,OVER $500,N
HT473657,5XX,W,DEMING PL,19,27-Aug-11,10:30 PM,THEFT,OVER $500,N
HT475041,107XX,S,EWING AVE,4,27-Aug-11,11:00 PM,THEFT,OVER $500,N
HT469562,77XX,S,EMERALD AVE,6,28-Aug-11,12:00 AM,THEFT,$500 AND UNDER,N
HT470166,19XX,W,ARMITAGE AVE,14,28-Aug-11,12:00 AM,THEFT,OVER $500,N
HT470089,13XX,S,HALSTED ST,12,28-Aug-11,5:00 AM,THEFT,$500 AND UNDER,N
HT469859,33XX,S,NORMAL AVE,9,28-Aug-11,9:00 AM,THEFT,$500 AND UNDER,N
HT470714,5XX,S,CAMPBELL AVE,11,28-Aug-11,12:00 PM,THEFT,$500 AND UNDER,N
HT470182,16XX,N,LAKE SHORE DR,18,28-Aug-11,2:30 PM,THEFT,OVER $500,N
HT470147,22XX,N,CANNON DR,18,28-Aug-11,3:30 PM,THEFT,OVER $500,N
HT470147,22XX,N,CANNON DR,18,28-Aug-11,3:30 PM,THEFT,OVER $500,N
HT471897,27XX,N,ELSTON AVE,14,28-Aug-11,4:00 PM,THEFT,OVER $500,N
HT470288,77XX,S,RHODES AVE,6,28-Aug-11,4:10 PM,THEFT,$500 AND UNDER,N
HT470331,2XX,E,SUPERIOR ST,18,28-Aug-11,4:45 PM,THEFT,$500 AND UNDER,N
HT470855,14XX,W,CORTEZ ST,13,28-Aug-11,5:00 PM,THEFT,$500 AND UNDER,N
HT470333,10XX,W,PRATT BLVD,24,28-Aug-11,5:00 PM,THEFT,$500 AND UNDER,N
HT470283,62XX,N,MONTICELLO AVE,17,28-Aug-11,5:45 PM,THEFT,$500 AND UNDER,N
HT470426,75XX,N,PAULINA AVE,24,28-Aug-11,7:50 PM,THEFT,$500 AND UNDER,N
HT470496,30XX,S,HALSTED ST,9,28-Aug-11,8:00 PM,THEFT,$500 AND UNDER,N
HT472998,13XX,W,MELROSE ST,19,28-Aug-11,8:00 PM,THEFT,$500 AND UNDER,N
HT470478,XX,E,79TH ST,6,28-Aug-11,8:30 PM,THEFT,$500 AND UNDER,N
HT471816,XX,E,8TH ST,1,29-Aug-11,12:01 AM,THEFT,OVER $500,N
HT472538,6XX,W,ADDISON ST,23,29-Aug-11,8:00 AM,THEFT,$500 AND UNDER,N
HT470933,1XX,W,87TH ST,6,29-Aug-11,8:15 AM,THEFT,OVER $500,N
HT471625,3XX,N,LOWER COLUMBUS DR,1,29-Aug-11,9:30 AM,THEFT,$500 AND UNDER,N
HT471090,49XX,S,DORCHESTER AVE,21,29-Aug-11,10:15 AM,THEFT,OVER $500,N
HT471259,26XX,W,CHICAGO AVE,13,29-Aug-11,12:10 PM,THEFT,$500 AND UNDER,N
HT472827,5XX,W,BELMONT AVE,23,29-Aug-11,1:00 PM,THEFT,$500 AND UNDER,N
HT472095,26XX,N,CANNON DR,23,29-Aug-11,2:00 PM,THEFT,OVER $500,N
HT476385,39XX,W,56TH ST,8,29-Aug-11,6:00 PM,THEFT,$500 AND UNDER,N
HT472098,15XX,N,CALIFORNIA AVE,14,29-Aug-11,8:40 PM,THEFT,$500 AND UNDER,N
HT474380,16XX,W,HOLLYWOOD AVE,20,29-Aug-11,10:00 PM,THEFT,OVER $500,N
HT473334,2XX,S,LA SALLE ST,1,30-Aug-11,8:30 AM,THEFT,$500 AND UNDER,N
HT473480,21XX,W,SCHILLER ST,14,30-Aug-11,9:00 AM,THEFT,$500 AND UNDER,N
HT473199,29XX,W,COYLE AVE,24,30-Aug-11,1:30 PM,THEFT,$500 AND UNDER,N
HT484008,17XX,N,ARTESIAN AVE,14,30-Aug-11,2:00 PM,THEFT,$500 AND UNDER,N
HT478108,XX,W,NORTH BLVD,18,30-Aug-11,2:03 PM,THEFT,OVER $500,N
HT473066,14XX,N,HALSTED ST,18,30-Aug-11,2:15 PM,THEFT,OVER $500,N
HT473198,103XX,S,WHIPPLE ST,22,30-Aug-11,2:50 PM,THEFT,$500 AND UNDER,N
HT473543,52XX,W,PENSACOLA AVE,16,30-Aug-11,3:00 PM,THEFT,$500 AND UNDER,N
HT473440,28XX,W,COYLE AVE,24,30-Aug-11,3:00 PM,THEFT,$500 AND UNDER,N
HT473745,3XX,W,WEBSTER AVE,18,30-Aug-11,3:15 PM,THEFT,OVER $500,N
HT475412,16XX,N,MOZART ST,14,30-Aug-11,4:07 PM,THEFT,$500 AND UNDER,N
HT471916,22XX,W,ADAMS ST,12,30-Aug-11,5:30 PM,THEFT,$500 AND UNDER,N
HT473488,39XX,W,BELMONT AVE,25,30-Aug-11,6:15 PM,THEFT,OVER $500,N
HT493586,24XX,W,ROSEMONT AVE,24,30-Aug-11,6:30 PM,THEFT,$500 AND UNDER,N
HT473523,25XX,W,PETERSON AVE,20,30-Aug-11,7:01 PM,THEFT,$500 AND UNDER,N
HT475943,86XX,S,KOLIN AVE,8,30-Aug-11,7:30 PM,THEFT,$500 AND UNDER,N
HT473900,16XX,N,MAYFIELD AVE,25,30-Aug-11,8:12 PM,THEFT,$500 AND UNDER,N
HT473900,16XX,N,MAYFIELD AVE,25,30-Aug-11,8:12 PM,THEFT,$500 AND UNDER,N
HT473828,28XX,N,CLARK ST,19,30-Aug-11,8:15 PM,THEFT,OVER $500,N
HT473716,17XX,W,LUNT AVE,24,30-Aug-11,9:10 PM,THEFT,$500 AND UNDER,N
HT473861,33XX,N,CLARK ST,19,30-Aug-11,9:30 PM,THEFT,$500 AND UNDER,N
HT476048,61XX,W,GIDDINGS ST,16,30-Aug-11,10:00 PM,THEFT,OVER $500,N
HT473949,20XX,W,CHICAGO AVE,13,31-Aug-11,12:20 AM,THEFT,$500 AND UNDER,N
HT476850,34XX,N,HALSTED ST,23,31-Aug-11,4:30 AM,THEFT,$500 AND UNDER,N
HT474612,1XX,E,ERIE ST,18,31-Aug-11,9:15 AM,THEFT,$500 AND UNDER,N
HT476360,43XX,N,SHERIDAN RD,23,31-Aug-11,10:00 AM,THEFT,$500 AND UNDER,N
HT475207,34XX,N,PAULINA ST,19,31-Aug-11,12:30 PM,THEFT,OVER $500,N
HT474966,39XX,W,DIVISION ST,25,31-Aug-11,3:30 PM,THEFT,$500 AND UNDER,N
HT474997,37XX,N,MAGNOLIA AVE,19,31-Aug-11,5:00 PM,THEFT,$500 AND UNDER,N
HT476919,46XX,N,HAMILTON AVE,19,31-Aug-11,8:00 PM,THEFT,$500 AND UNDER,N
HT484276,14XX,W,FOSTER AVE,20,31-Aug-11,10:00 PM,THEFT,OVER $500,N
HT475663,72XX,S,ABERDEEN ST,7,31-Aug-11,10:10 PM,THEFT,$500 AND UNDER,N
HT476317,80XX,S,MORGAN ST,6,31-Aug-11,10:30 PM,THEFT,$500 AND UNDER,N
HT476344,34XX,N,BROADWAY,23,1-Sep-11,12:30 AM,THEFT,OVER $500,N
HT475920,1XX,E,WALTON ST,18,1-Sep-11,8:00 AM,THEFT,OVER $500,N
HT490073,10XX,W,LAWRENCE AVE,23,1-Sep-11,2:00 PM,THEFT,OVER $500,N
HT476651,32XX,S,CALUMET AVE,21,1-Sep-11,3:00 PM,THEFT,OVER $500,N
HT476641,39XX,N,HOYNE AVE,19,1-Sep-11,4:40 PM,THEFT,$500 AND UNDER,N
HT476839,20XX,W,FARGO AVE,24,1-Sep-11,5:30 PM,THEFT,$500 AND UNDER,N
HT477128,16XX,N,LAKE SHORE DR,18,1-Sep-11,6:00 PM,THEFT,OVER $500,N
HT477223,15XX,N,DAMEN AVE,14,1-Sep-11,10:00 PM,THEFT,OVER $500,N
HT477223,15XX,N,DAMEN AVE,14,1-Sep-11,10:00 PM,THEFT,OVER $500,N
HT477254,4XX,N,LARAMIE AVE,15,2-Sep-11,1:00 AM,THEFT,$500 AND UNDER,N
HT479767,112XX,S,HOMEWOOD AVE,22,2-Sep-11,2:00 PM,THEFT,$500 AND UNDER,N
HT478273,12XX,W,96TH ST,22,2-Sep-11,3:00 PM,THEFT,$500 AND UNDER,N
HT478578,4XX,W,BELDEN AVE,18,2-Sep-11,4:00 PM,THEFT,OVER $500,N
HT505854,61XX,N,CLAREMONT AVE,24,2-Sep-11,4:00 PM,THEFT,$500 AND UNDER,N
HT478235,17XX,W,HUBBARD ST,13,2-Sep-11,4:45 PM,THEFT,OVER $500,N
HT480807,9XX,W,BELDEN AVE,18,2-Sep-11,5:00 PM,THEFT,$500 AND UNDER,N
HT491802,11XX,W,GEORGE ST,19,2-Sep-11,5:00 PM,THEFT,$500 AND UNDER,N
HT478773,55XX,N,CUMBERLAND AVE,16,2-Sep-11,6:30 PM,THEFT,OVER $500,N
HT478676,16XX,W,PETERSON AVE,24,2-Sep-11,9:34 PM,THEFT,$500 AND UNDER,N
HT486482,6XX,W,DIVISION ST,18,2-Sep-11,10:00 PM,THEFT,OVER $500,N
HT479608,55XX,S,TROY ST,8,3-Sep-11,6:00 AM,THEFT,$500 AND UNDER,N
HT485686,10XX,W,OAKDALE AVE,19,3-Sep-11,9:00 AM,THEFT,OVER $500,N
HT480826,24XX,N,GENEVA TER,19,3-Sep-11,9:00 AM,THEFT,$500 AND UNDER,N
HT479323,18XX,N,CLEVELAND AVE,18,3-Sep-11,10:00 AM,THEFT,$500 AND UNDER,N
HT479905,110XX,S,STATE ST,5,3-Sep-11,1:24 PM,THEFT,OVER $500,N
HT481465,13XX,N,MILWAUKEE AVE,14,3-Sep-11,7:00 PM,THEFT,OVER $500,N
HT480963,21XX,W,WEBSTER AVE,14,3-Sep-11,11:00 PM,THEFT,$500 AND UNDER,N
HT481405,16XX,N,MILWAUKEE AVE,14,4-Sep-11,10:00 AM,THEFT,$500 AND UNDER,N
HT482446,47XX,N,ST LOUIS AVE,17,4-Sep-11,10:00 AM,THEFT,$500 AND UNDER,N
HT484299,8XX,W,LILL AVE,19,4-Sep-11,10:30 AM,THEFT,$500 AND UNDER,N
HT481098,16XX,N,LAKE SHORE DR,18,4-Sep-11,11:30 AM,THEFT,OVER $500,N
HT480973,47XX,N,ST LOUIS AVE,17,4-Sep-11,12:33 PM,THEFT,$500 AND UNDER,N
HT482357,28XX,S,AVERS AVE,10,4-Sep-11,3:00 PM,THEFT,$500 AND UNDER,N
HT481211,16XX,N,LAKE SHORE DR,18,4-Sep-11,4:00 PM,THEFT,OVER $500,N
HT482316,22XX,N,CLYBOURN AVE,18,4-Sep-11,7:15 PM,THEFT,OVER $500,N
HT493854,9XX,W,ADDISON ST,23,4-Sep-11,8:00 PM,THEFT,OVER $500,N
HT482368,46XX,N,DOVER ST,23,5-Sep-11,12:40 PM,THEFT,OVER $500,N
HT482368,46XX,N,DOVER ST,23,5-Sep-11,12:40 PM,THEFT,OVER $500,N
HT482638,16XX,W,LUNT AVE,24,5-Sep-11,2:30 PM,THEFT,$500 AND UNDER,N
HT483355,39XX,W,NORTH AVE,25,5-Sep-11,5:00 PM,THEFT,$500 AND UNDER,N
HT483051,47XX,N,SAWYER AVE,17,5-Sep-11,10:00 PM,THEFT,OVER $500,N
HT483051,47XX,N,SAWYER AVE,17,5-Sep-11,10:00 PM,THEFT,OVER $500,N
HT483051,47XX,N,SAWYER AVE,17,5-Sep-11,10:00 PM,THEFT,OVER $500,N
HT483823,12XX,N,ROCKWELL ST,14,6-Sep-11,8:30 AM,THEFT,OVER $500,N
HT488339,20XX,S,CALIFORNIA AVE,10,6-Sep-11,9:30 AM,THEFT,$500 AND UNDER,N
HT483824,7XX,N,HALSTED ST,13,6-Sep-11,9:35 AM,THEFT,$500 AND UNDER,N
HT483793,XX,N,DEARBORN ST,1,6-Sep-11,10:00 AM,THEFT,$500 AND UNDER,N
HT483712,29XX,W,BIRCHWOOD AVE,24,6-Sep-11,11:00 AM,THEFT,$500 AND UNDER,N
HT490094,47XX,N,MAGNOLIA AVE,23,6-Sep-11,4:00 PM,THEFT,$500 AND UNDER,N
HT485109,32XX,N,ASHLAND AVE,19,6-Sep-11,4:00 PM,THEFT,OVER $500,N
HT490094,47XX,N,MAGNOLIA AVE,23,6-Sep-11,4:00 PM,THEFT,$500 AND UNDER,N
HT484363,XX,N,HALSTED ST,12,6-Sep-11,6:15 PM,THEFT,OVER $500,N
HT485066,31XX,N,SHERIDAN RD,23,6-Sep-11,7:00 PM,THEFT,OVER $500,N
HT484608,47XX,N,LINCOLN AVE,19,6-Sep-11,9:00 PM,THEFT,$500 AND UNDER,N
HT484889,69XX,N,CLARK ST,24,7-Sep-11,12:01 AM,THEFT,$500 AND UNDER,N
HT484819,53XX,S,KILDARE AVE,8,7-Sep-11,2:00 AM,THEFT,$500 AND UNDER,N
HT485232,6XX,W,WRIGHTWOOD AVE,19,7-Sep-11,10:30 AM,THEFT,$500 AND UNDER,N
HT485652,23XX,N,KENMORE AVE,18,7-Sep-11,1:00 PM,THEFT,$500 AND UNDER,N
HT485407,72XX,N,BELL AVE,24,7-Sep-11,1:00 PM,THEFT,$500 AND UNDER,N
HT485817,2XX,S,MICHIGAN AVE,1,7-Sep-11,4:00 PM,THEFT,OVER $500,N
HT486277,XX,E,JACKSON BLVD,1,7-Sep-11,5:00 PM,THEFT,$500 AND UNDER,N
HT486251,16XX,W,ROSCOE ST,19,7-Sep-11,6:00 PM,THEFT,OVER $500,N
HT486380,54XX,N,LOVEJOY AVE,16,8-Sep-11,12:20 AM,THEFT,$500 AND UNDER,N
HT488108,16XX,N,LOTUS AVE,25,8-Sep-11,5:00 AM,THEFT,$500 AND UNDER,N
HT487067,18XX,W,LAWRENCE AVE,20,8-Sep-11,6:40 AM,THEFT,$500 AND UNDER,N
HT486541,20XX,W,DIVISION ST,14,8-Sep-11,6:43 AM,THEFT,$500 AND UNDER,N
HT487578,23XX,W,25TH ST,10,8-Sep-11,7:00 AM,THEFT,$500 AND UNDER,N
HT487409,4XX,W,SUPERIOR ST,18,8-Sep-11,9:00 AM,THEFT,$500 AND UNDER,N
HT493650,18XX,W,PATTERSON AVE,19,8-Sep-11,9:00 AM,THEFT,$500 AND UNDER,N
HT487497,17XX,N,SPAULDING AVE,14,8-Sep-11,12:00 PM,THEFT,OVER $500,N
HT486882,XX,N,CLARK ST,1,8-Sep-11,12:00 PM,THEFT,$500 AND UNDER,N
HT487497,17XX,N,SPAULDING AVE,14,8-Sep-11,12:00 PM,THEFT,OVER $500,N
HT488010,37XX,W,GIDDINGS ST,17,8-Sep-11,4:00 PM,THEFT,OVER $500,N
HT487838,29XX,W,ARMITAGE AVE,14,8-Sep-11,8:00 PM,THEFT,$500 AND UNDER,N
HT488836,49XX,N,MILWAUKEE AVE,16,9-Sep-11,5:00 AM,THEFT,OVER $500,N
HT488835,34XX,W,DIVERSEY AVE,14,9-Sep-11,11:00 AM,THEFT,$500 AND UNDER,N
HT489305,1XX,W,ADAMS ST,1,9-Sep-11,2:30 PM,THEFT,OVER $500,N
HT490154,20XX,W,ARMITAGE AVE,14,9-Sep-11,6:00 PM,THEFT,OVER $500,N
HT490172,4XX,W,BELDEN AVE,18,9-Sep-11,7:00 PM,THEFT,OVER $500,N
HT489860,77XX,N,EASTLAKE TER,24,9-Sep-11,10:00 PM,THEFT,$500 AND UNDER,N
HT500967,60XX,N,CENTRAL PARK AVE,17,10-Sep-11,1:00 AM,THEFT,$500 AND UNDER,N
HT500967,60XX,N,CENTRAL PARK AVE,17,10-Sep-11,1:00 AM,THEFT,$500 AND UNDER,N
HT500967,60XX,N,CENTRAL PARK AVE,17,10-Sep-11,1:00 AM,THEFT,$500 AND UNDER,N
HT489922,9XX,W,WAVELAND AVE,23,10-Sep-11,2:00 AM,THEFT,OVER $500,N
HT490021,51XX,S,WOOD ST,9,10-Sep-11,10:55 AM,THEFT,$500 AND UNDER,N
HT491937,34XX,N,BROADWAY,23,10-Sep-11,12:00 PM,THEFT,$500 AND UNDER,N
HT490334,60XX,W,EASTWOOD AVE,16,10-Sep-11,1:00 PM,THEFT,$500 AND UNDER,N
HT490997,20XX,W,HUTCHINSON ST,19,10-Sep-11,5:30 PM,THEFT,OVER $500,N
HT491741,51XX,N,GLENWOOD AVE,20,10-Sep-11,6:00 PM,THEFT,$500 AND UNDER,N
